date,categorie,produit,qte,CA
2023-07-26,Sport,Chaussures running,3,1537.73
2023-07-26,Sport,Raquette tennis,3,1906.71
2023-07-26,Sport,Raquette tennis,5,3530.95
2023-07-27,Sport,Chaussures running,3,1708.59
2023-07-27,Bricolage,Peinture 5L,1,609.0
2023-07-27,Bricolage,Échelle alu,3,1064.01
2023-07-27,Bricolage,Échelle alu,8,2837.36
2023-07-27,Électroménager,Réfrigérateur,5,1936.85
2023-07-28,Mode,Robe été,2,593.04
2023-07-28,Électroménager,Aspirateur,3,573.54
2023-07-29,Maison,Canapé 3 places,1,246.23
2023-07-29,Bricolage,Peinture 5L,3,1644.3
2023-07-29,Sport,Tapis yoga,6,3950.16
2023-07-29,Mode,Jean homme,1,258.66
2023-07-31,Électroménager,Robot cuiseur,6,1499.82
2023-08-01,Sport,Ballon foot,1,100.1
2023-08-01,Maison,Rideau occultant,2,202.42
2023-08-01,Sport,Maillot bain,5,1753.85
2023-08-01,Bricolage,Perceuse,6,633.96
2023-08-01,Bricolage,Échelle alu,2,709.34
2023-08-02,Bricolage,Peinture 5L,2,1218.0
2023-08-02,Bricolage,Boîte à outils,3,249.63
2023-08-02,Maison,Lampe LED,3,402.66
2023-08-02,Sport,Maillot bain,6,2104.62
2023-08-02,Sport,Haltères 10kg,2,186.77
2023-08-02,Électroménager,Aspirateur,2,382.36
2023-08-03,Maison,Rideau occultant,3,303.63
2023-08-04,Sport,Chaussures running,4,2278.12
2023-08-04,Maison,Étagère bois,4,1118.36
2023-08-04,Électroménager,Cafetière,3,1176.72
2023-08-05,Maison,Couette 220x240,3,638.66
2023-08-05,Bricolage,Boîte à outils,1,83.21
2023-08-06,Électroménager,Micro-ondes,2,906.32
2023-08-07,Maison,Set casseroles,2,1343.02
2023-08-07,Mode,Robe été,3,889.56
2023-08-07,Sport,Maillot bain,4,1403.08
2023-08-07,Sport,Maillot bain,5,1753.85
2023-08-08,Électroménager,Aspirateur,3,573.54
2023-08-08,Sport,Tapis yoga,3,1975.08
2023-08-09,Maison,Rideau occultant,1,96.15
2023-08-09,Mode,Jean homme,2,544.54
2023-08-09,Maison,Rideau occultant,6,607.26
2023-08-09,Électroménager,Micro-ondes,2,906.32
2023-08-10,Maison,Couette 220x240,1,224.09
2023-08-10,Sport,Raquette tennis,4,2824.76
2023-08-10,Électroménager,Cafetière,2,784.48
2023-08-12,Maison,Couette 220x240,6,1344.54
2023-08-12,Maison,Canapé 3 places,4,984.92
2023-08-12,Sport,Chaussures running,2,1139.06
2023-08-13,Maison,Couette 220x240,3,672.27
2023-08-14,Sport,Tapis yoga,2,1316.72
2023-08-14,Sport,Haltères 10kg,5,491.5
2023-08-14,Bricolage,Peinture 5L,2,1218.0
2023-08-14,Maison,Étagère bois,2,531.22
2023-08-14,Mode,Pull laine,3,2653.47
2023-08-15,Mode,Jean homme,3,816.81
2023-08-16,Sport,Tapis yoga,3,1777.57
2023-08-16,Bricolage,Perceuse,1,105.66
2023-08-16,Sport,Ballon foot,2,200.2
2023-08-18,Maison,Lampe LED,4,536.88
2023-08-18,Sport,Ballon foot,4,400.4
2023-08-19,Électroménager,Réfrigérateur,4,1549.48
2023-08-19,Sport,Haltères 10kg,1,98.3
2023-08-19,Sport,Maillot bain,4,1403.08
2023-08-20,Bricolage,Peinture 5L,2,1218.0
2023-08-21,Bricolage,Tournevis set,2,1145.3
2023-08-21,Mode,Robe été,2,593.04
2023-08-22,Bricolage,Peinture 5L,2,1218.0
2023-08-23,Sport,Tapis yoga,5,3291.8
2023-08-23,Maison,Étagère bois,1,223.67
2023-08-24,Maison,Étagère bois,3,838.77
2023-08-24,Mode,Baskets ville,2,874.97
2023-08-24,Électroménager,Aspirateur,3,516.19
2023-08-24,Maison,Couette 220x240,2,448.18
2023-08-24,Bricolage,Échelle alu,1,354.67
2023-08-25,Sport,Tapis yoga,5,3291.8
2023-08-25,Mode,Veste hiver,2,1311.98
2023-08-26,Maison,Couette 220x240,2,448.18
2023-08-26,Maison,Lampe LED,5,671.1
2023-08-27,Électroménager,Aspirateur,4,764.72
2023-08-27,Sport,Raquette tennis,4,2824.76
2023-08-28,Maison,Lampe LED,4,536.88
2023-08-28,Électroménager,Réfrigérateur,4,1549.48
2023-08-29,Bricolage,Tournevis set,2,1272.56
2023-08-31,Électroménager,Micro-ondes,5,2265.8
2023-08-31,Sport,Chaussures running,2,1139.06
2023-08-31,Maison,Rideau occultant,3,303.63
2023-08-31,Bricolage,Perceuse,2,211.32
2023-09-01,Bricolage,Échelle alu,1,354.67
2023-09-01,Mode,Baskets ville,1,460.51
2023-09-01,Maison,Set casseroles,3,2120.55
2023-09-01,Sport,Vélo VTT,6,3271.26
2023-09-02,Sport,Ballon foot,4,400.4
2023-09-02,Maison,Couette 220x240,4,896.36
2023-09-03,Électroménager,Réfrigérateur,4,1549.48
2023-09-03,Sport,Ballon foot,5,500.5
2023-09-03,Sport,Haltères 10kg,3,294.9
2023-09-03,Maison,Set casseroles,4,2827.4
2023-09-03,Maison,Canapé 3 places,1,246.23
2023-09-04,Maison,Set casseroles,4,2827.4
2023-09-04,Électroménager,Robot cuiseur,4,999.88
2023-09-05,Mode,Robe été,3,889.56
2023-09-05,Sport,Haltères 10kg,1,98.3
2023-09-05,Sport,Maillot bain,5,1753.85
2023-09-05,Bricolage,Échelle alu,1,354.67
2023-09-05,Sport,Raquette tennis,4,2824.76
2023-09-05,Électroménager,Robot cuiseur,2,474.94
2023-09-06,Sport,Vélo VTT,2,1090.42
2023-09-07,Électroménager,Aspirateur,4,726.48
2023-09-07,Mode,Veste hiver,2,1311.98
2023-09-07,Bricolage,Échelle alu,5,1684.68
2023-09-07,Sport,Maillot bain,5,1753.85
2023-09-07,Maison,Set casseroles,4,2686.03
2023-09-07,Mode,Baskets ville,5,2302.55
2023-09-07,Mode,Baskets ville,4,1842.04
2023-09-08,Électroménager,Micro-ondes,2,906.32
2023-09-08,Bricolage,Échelle alu,3,1064.01
2023-09-08,Maison,Rideau occultant,2,202.42
2023-09-08,Bricolage,Peinture 5L,4,2436.0
2023-09-08,Électroménager,Cafetière,2,784.48
2023-09-09,Maison,Set casseroles,6,4241.1
2023-09-10,Électroménager,Cafetière,4,1568.96
2023-09-10,Mode,Baskets ville,3,1381.53
2023-09-10,Mode,Jean homme,1,272.27
2023-09-11,Maison,Set casseroles,1,706.85
2023-09-12,Sport,Haltères 10kg,3,280.15
2023-09-12,Sport,Ballon foot,1,100.1
2023-09-12,Électroménager,Bouilloire,1,580.83
2023-09-13,Électroménager,Robot cuiseur,1,249.97
2023-09-13,Maison,Couette 220x240,2,448.18
2023-09-13,Électroménager,Aspirateur,1,191.18
2023-09-13,Mode,Jean homme,5,1361.35
2023-09-14,Sport,Ballon foot,1,100.1
2023-09-14,Sport,Tapis yoga,3,1876.33
2023-09-15,Bricolage,Échelle alu,3,957.61
2023-09-16,Sport,Tapis yoga,2,1316.72
2023-09-16,Maison,Lampe LED,2,268.44
2023-09-16,Sport,Maillot bain,3,947.08
2023-09-16,Bricolage,Perceuse,1,105.66
2023-09-17,Maison,Set casseroles,4,2827.4
2023-09-17,Sport,Raquette tennis,2,1412.38
2023-09-17,Mode,Jean homme,2,544.54
2023-09-17,Sport,Maillot bain,1,350.77
2023-09-18,Sport,Haltères 10kg,2,196.6
2023-09-18,Sport,Chaussures running,3,1708.59
2023-09-18,Bricolage,Échelle alu,3,1064.01
2023-09-18,Mode,Baskets ville,3,1381.53
2023-09-19,Sport,Tapis yoga,2,1316.72
2023-09-19,Électroménager,Réfrigérateur,3,1162.11
2023-09-19,Mode,T-shirt coton,1,504.67
2023-09-19,Maison,Set casseroles,2,1413.7
2023-09-20,Mode,Robe été,2,593.04
2023-09-20,Bricolage,Tournevis set,1,604.47
2023-09-21,Sport,Raquette tennis,3,2012.64
2023-09-21,Maison,Couette 220x240,3,672.27
2023-09-21,Maison,Étagère bois,5,1397.95
2023-09-21,Maison,Lampe LED,1,134.22
2023-09-22,Bricolage,Peinture 5L,1,609.0
2023-09-22,Maison,Lampe LED,2,268.44
2023-09-23,Électroménager,Robot cuiseur,6,1499.82
2023-09-23,Maison,Lampe LED,1,134.22
2023-09-23,Mode,Baskets ville,2,921.02
2023-09-24,Sport,Vélo VTT,1,545.21
2023-09-24,Maison,Étagère bois,2,559.18
2023-09-24,Bricolage,Tournevis set,2,1208.93
2023-09-24,Sport,Raquette tennis,2,1412.38
2023-09-24,Électroménager,Micro-ondes,4,1812.64
2023-09-24,Électroménager,Réfrigérateur,3,1162.11
2023-09-26,Mode,Robe été,4,948.86
2023-09-26,Mode,Pull laine,1,884.49
2023-09-27,Bricolage,Échelle alu,5,1773.35
2023-09-28,Bricolage,Tournevis set,1,636.28
2023-09-29,Maison,Lampe LED,5,671.1
2023-09-30,Mode,Robe été,1,296.52
2023-09-30,Maison,Rideau occultant,1,101.21
2023-09-30,Sport,Haltères 10kg,4,393.2
2023-10-01,Mode,Pull laine,2,1680.53
2023-10-02,Mode,Veste hiver,3,1967.97
2023-10-02,Électroménager,Bouilloire,1,580.83
2023-10-02,Sport,Raquette tennis,4,2824.76
2023-10-03,Mode,T-shirt coton,2,1009.34
2023-10-03,Mode,Jean homme,4,1089.08
2023-10-03,Bricolage,Échelle alu,4,1418.68
2023-10-04,Maison,Lampe LED,4,536.88
2023-10-04,Bricolage,Perceuse,5,528.3
2023-10-04,Sport,Maillot bain,4,1332.93
2023-10-04,Bricolage,Tournevis set,4,2545.12
2023-10-04,Bricolage,Échelle alu,2,709.34
2023-10-05,Maison,Set casseroles,2,1343.02
2023-10-05,Sport,Maillot bain,4,1403.08
2023-10-06,Maison,Canapé 3 places,1,246.23
2023-10-06,Mode,Jean homme,4,1089.08
2023-10-07,Sport,Haltères 10kg,4,393.2
2023-10-07,Bricolage,Perceuse,4,422.64
2023-10-08,Mode,Pull laine,3,2653.47
2023-10-10,Maison,Couette 220x240,4,896.36
2023-10-10,Sport,Raquette tennis,5,2824.76
2023-10-10,Mode,T-shirt coton,3,1211.21
2023-10-10,Électroménager,Aspirateur,3,573.54
2023-10-11,Sport,Maillot bain,4,1403.08
2023-10-12,Sport,Maillot bain,4,1403.08
2023-10-12,Sport,Chaussures running,1,569.53
2023-10-12,Sport,Raquette tennis,4,2542.28
2023-10-13,Électroménager,Micro-ondes,6,2718.96
2023-10-13,Sport,Vélo VTT,2,1090.42
2023-10-13,Bricolage,Tournevis set,5,3181.4
2023-10-14,Électroménager,Robot cuiseur,3,599.93
2023-10-14,Sport,Chaussures running,2,1139.06
2023-10-14,Électroménager,Robot cuiseur,2,499.94
2023-10-14,Mode,Veste hiver,2,1311.98
2023-10-14,Maison,Rideau occultant,3,303.63
2023-10-15,Bricolage,Échelle alu,1,354.67
2023-10-15,Mode,Pull laine,3,2653.47
2023-10-16,Mode,T-shirt coton,1,504.67
2023-10-17,Bricolage,Peinture 5L,1,578.55
2023-10-17,Mode,Robe été,2,593.04
2023-10-17,Électroménager,Robot cuiseur,4,999.88
2023-10-17,Électroménager,Cafetière,3,1176.72
2023-10-17,Électroménager,Robot cuiseur,2,499.94
2023-10-17,Électroménager,Micro-ondes,3,1291.51
2023-10-18,Maison,Couette 220x240,4,896.36
2023-10-19,Bricolage,Peinture 5L,5,3045.0
2023-10-20,Maison,Lampe LED,4,536.88
2023-10-20,Bricolage,Boîte à outils,5,416.05
2023-10-21,Bricolage,Perceuse,3,316.98
2023-10-21,Sport,Chaussures running,4,2278.12
2023-10-21,Sport,Tapis yoga,3,1975.08
2023-10-21,Électroménager,Robot cuiseur,3,749.91
2023-10-21,Électroménager,Aspirateur,1,191.18
2023-10-22,Maison,Lampe LED,3,402.66
2023-10-22,Bricolage,Perceuse,5,528.3
2023-10-22,Mode,T-shirt coton,4,1816.81
2023-10-22,Bricolage,Tournevis set,1,636.28
2023-10-23,Électroménager,Cafetière,1,372.63
2023-10-23,Sport,Raquette tennis,5,3530.95
2023-10-23,Sport,Haltères 10kg,2,196.6
2023-10-23,Mode,Veste hiver,2,1311.98
2023-10-23,Électroménager,Réfrigérateur,1,387.37
2023-10-23,Électroménager,Cafetière,1,392.24
2023-10-24,Maison,Couette 220x240,4,896.36
2023-10-24,Sport,Tapis yoga,1,625.44
2023-10-25,Bricolage,Tournevis set,4,2036.1
2023-10-25,Bricolage,Peinture 5L,4,2436.0
2023-10-25,Maison,Rideau occultant,3,303.63
2023-10-25,Sport,Vélo VTT,1,545.21
2023-10-29,Électroménager,Aspirateur,3,573.54
2023-10-29,Sport,Raquette tennis,2,1412.38
2023-10-30,Électroménager,Aspirateur,5,955.9
2023-10-30,Sport,Vélo VTT,5,2726.05
2023-10-30,Sport,Chaussures running,2,1139.06
2023-10-31,Électroménager,Cafetière,3,1176.72
2023-10-31,Maison,Étagère bois,5,1397.95
2023-10-31,Mode,Baskets ville,1,460.51
2023-10-31,Électroménager,Robot cuiseur,2,499.94
2023-11-01,Sport,Raquette tennis,1,706.19
2023-11-02,Sport,Chaussures running,2,1082.11
2023-11-02,Électroménager,Micro-ondes,2,906.32
2023-11-02,Électroménager,Bouilloire,1,726.04
2023-11-03,Mode,Veste hiver,1,655.99
2023-11-03,Mode,Veste hiver,4,2361.56
2023-11-03,Maison,Lampe LED,2,268.44
2023-11-03,Sport,Maillot bain,2,701.54
2023-11-04,Mode,Robe été,2,593.04
2023-11-04,Mode,T-shirt coton,1,479.44
2023-11-05,Maison,Set casseroles,4,2261.92
2023-11-05,Sport,Haltères 10kg,2,196.6
2023-11-06,Sport,Chaussures running,1,569.53
2023-11-07,Sport,Raquette tennis,3,2118.57
2023-11-08,Maison,Set casseroles,1,706.85
2023-11-09,Maison,Lampe LED,2,268.44
2023-11-09,Sport,Chaussures running,3,1708.59
2023-11-09,Bricolage,Échelle alu,1,354.67
2023-11-09,Sport,Tapis yoga,4,2633.44
2023-11-10,Bricolage,Perceuse,4,422.64
2023-11-10,Sport,Ballon foot,1,100.1
2023-11-12,Mode,Baskets ville,2,921.02
2023-11-12,Bricolage,Peinture 5L,3,1735.65
2023-11-12,Sport,Maillot bain,2,701.54
2023-11-12,Maison,Étagère bois,2,559.18
2023-11-12,Bricolage,Boîte à outils,3,249.63
2023-11-13,Maison,Rideau occultant,1,101.21
2023-11-13,Maison,Rideau occultant,3,303.63
2023-11-14,Électroménager,Robot cuiseur,2,499.94
2023-11-15,Maison,Set casseroles,3,2120.55
2023-11-15,Électroménager,Robot cuiseur,2,499.94
2023-11-16,Bricolage,Peinture 5L,2,1096.2
2023-11-16,Sport,Raquette tennis,4,2824.76
2023-11-16,Sport,Vélo VTT,1,545.21
2023-11-16,Mode,Baskets ville,3,1381.53
2023-11-17,Électroménager,Robot cuiseur,1,249.97
2023-11-17,Sport,Vélo VTT,2,1090.42
2023-11-17,Maison,Étagère bois,4,1118.36
2023-11-18,Maison,Couette 220x240,2,448.18
2023-11-18,Maison,Couette 220x240,1,224.09
2023-11-18,Mode,Veste hiver,2,1311.98
2023-11-20,Mode,Baskets ville,2,921.02
2023-11-21,Bricolage,Peinture 5L,1,578.55
2023-11-21,Électroménager,Cafetière,3,1176.72
2023-11-22,Sport,Maillot bain,2,701.54
2023-11-22,Mode,T-shirt coton,2,958.87
2023-11-22,Maison,Couette 220x240,3,672.27
2023-11-22,Électroménager,Robot cuiseur,2,499.94
2023-11-24,Électroménager,Aspirateur,2,382.36
2023-11-24,Sport,Chaussures running,1,569.53
2023-11-24,Mode,T-shirt coton,4,2018.68
2023-11-24,Maison,Couette 220x240,2,448.18
2023-11-25,Maison,Rideau occultant,1,96.15
2023-11-25,Sport,Chaussures running,1,569.53
2023-11-25,Électroménager,Aspirateur,4,764.72
2023-11-26,Bricolage,Échelle alu,2,709.34
2023-11-26,Mode,Veste hiver,2,1311.98
2023-11-26,Bricolage,Perceuse,1,105.66
2023-11-26,Maison,Étagère bois,1,279.59
2023-11-26,Électroménager,Micro-ondes,2,906.32
2023-11-26,Bricolage,Échelle alu,3,1064.01
2023-11-27,Bricolage,Peinture 5L,1,548.1
2023-11-27,Sport,Ballon foot,4,400.4
2023-11-28,Électroménager,Aspirateur,1,152.94
2023-11-28,Électroménager,Réfrigérateur,3,1162.11
2023-11-28,Sport,Vélo VTT,3,1635.63
2023-11-28,Bricolage,Perceuse,2,211.32
2023-11-29,Bricolage,Échelle alu,3,957.61
2023-11-30,Électroménager,Aspirateur,2,363.24
2023-11-30,Maison,Étagère bois,1,279.59
2023-11-30,Mode,Baskets ville,3,1381.53
2023-12-01,Électroménager,Réfrigérateur,8,2479.17
2023-12-01,Maison,Set casseroles,8,5654.8
2023-12-01,Maison,Couette 220x240,9,2016.81
2023-12-01,Bricolage,Boîte à outils,6,499.26
2023-12-02,Sport,Vélo VTT,8,4361.68
2023-12-03,Mode,Baskets ville,1,460.51
2023-12-03,Bricolage,Tournevis set,8,5090.24
2023-12-04,Bricolage,Boîte à outils,3,249.63
2023-12-04,Maison,Étagère bois,5,1397.95
2023-12-04,Maison,Lampe LED,8,966.38
2023-12-04,Maison,Couette 220x240,2,448.18
2023-12-04,Sport,Raquette tennis,9,6355.71
2023-12-04,Mode,Baskets ville,2,921.02
2023-12-05,Bricolage,Tournevis set,10,6362.8
2023-12-05,Sport,Tapis yoga,6,3950.16
2023-12-05,Mode,Robe été,4,1126.78
2023-12-08,Maison,Canapé 3 places,6,1477.38
2023-12-08,Bricolage,Tournevis set,3,1813.4
2023-12-08,Électroménager,Robot cuiseur,6,1499.82
2023-12-08,Mode,Jean homme,5,1361.35
2023-12-08,Électroménager,Réfrigérateur,4,1549.48
2023-12-08,Maison,Étagère bois,2,447.34
2023-12-08,Maison,Set casseroles,4,2827.4
2023-12-09,Bricolage,Peinture 5L,4,2436.0
2023-12-09,Électroménager,Aspirateur,1,191.18
2023-12-10,Électroménager,Micro-ondes,3,1359.48
2023-12-11,Mode,Jean homme,5,1361.35
2023-12-11,Mode,Pull laine,7,4953.14
2023-12-11,Mode,T-shirt coton,5,2523.35
2023-12-11,Sport,Chaussures running,2,1139.06
2023-12-11,Électroménager,Robot cuiseur,4,999.88
2023-12-12,Bricolage,Échelle alu,4,1134.94
2023-12-12,Sport,Maillot bain,6,1894.16
2023-12-13,Sport,Vélo VTT,5,2453.45
2023-12-13,Bricolage,Tournevis set,8,5090.24
2023-12-13,Bricolage,Boîte à outils,5,332.84
2023-12-13,Maison,Lampe LED,6,805.32
2023-12-14,Sport,Maillot bain,6,2104.62
2023-12-14,Mode,Robe été,2,533.74
2023-12-14,Mode,T-shirt coton,1,504.67
2023-12-14,Électroménager,Aspirateur,2,363.24
2023-12-15,Électroménager,Aspirateur,3,573.54
2023-12-15,Électroménager,Robot cuiseur,6,1499.82
2023-12-15,Sport,Haltères 10kg,1,98.3
2023-12-16,Sport,Maillot bain,2,666.46
2023-12-17,Mode,T-shirt coton,1,504.67
2023-12-17,Mode,Jean homme,9,2450.43
2023-12-19,Mode,Veste hiver,4,2623.96
2023-12-19,Sport,Tapis yoga,3,1975.08
2023-12-19,Sport,Raquette tennis,6,4237.14
2023-12-19,Sport,Raquette tennis,1,635.57
2023-12-20,Sport,Ballon foot,2,200.2
2023-12-20,Bricolage,Tournevis set,1,636.28
2023-12-21,Sport,Chaussures running,2,1139.06
2023-12-21,Électroménager,Cafetière,7,2745.68
2023-12-21,Sport,Vélo VTT,1,545.21
2023-12-21,Bricolage,Peinture 5L,6,3654.0
2023-12-22,Mode,Jean homme,1,272.27
2023-12-22,Maison,Set casseroles,7,4453.16
2023-12-22,Mode,Pull laine,1,884.49
2023-12-23,Bricolage,Tournevis set,2,1272.56
2023-12-23,Mode,Pull laine,3,2653.47
2023-12-24,Sport,Raquette tennis,6,4025.28
2023-12-25,Sport,Tapis yoga,3,1975.08
2023-12-25,Sport,Haltères 10kg,2,186.77
2023-12-25,Électroménager,Réfrigérateur,2,774.74
2023-12-26,Mode,Robe été,5,1482.6
2023-12-26,Sport,Chaussures running,7,3986.71
2023-12-26,Sport,Tapis yoga,4,2501.77
2023-12-27,Sport,Chaussures running,8,4556.24
2023-12-27,Sport,Tapis yoga,5,3291.8
2023-12-28,Bricolage,Peinture 5L,7,4263.0
2023-12-28,Mode,Pull laine,2,1768.98
2023-12-29,Sport,Tapis yoga,2,1316.72
2023-12-29,Maison,Set casseroles,9,6361.65
2023-12-29,Mode,T-shirt coton,8,4037.36
2023-12-30,Maison,Set casseroles,2,1413.7
2023-12-30,Mode,Pull laine,2,1768.98
2023-12-30,Électroménager,Bouilloire,2,1379.48
2023-12-30,Maison,Set casseroles,6,4029.04
2023-12-31,Maison,Lampe LED,4,536.88
2023-12-31,Sport,Maillot bain,6,2104.62
2023-12-31,Maison,Canapé 3 places,2,492.46
2024-01-01,Électroménager,Cafetière,7,2745.68
2024-01-01,Bricolage,Peinture 5L,3,1735.65
2024-01-01,Électroménager,Micro-ondes,3,1291.51
2024-01-01,Bricolage,Perceuse,1,105.66
2024-01-02,Électroménager,Réfrigérateur,3,1162.11
2024-01-03,Mode,T-shirt coton,2,958.87
2024-01-03,Électroménager,Bouilloire,4,2904.16
2024-01-03,Mode,Pull laine,4,3537.96
2024-01-03,Sport,Tapis yoga,5,2962.62
2024-01-03,Électroménager,Cafetière,5,1961.2
2024-01-04,Maison,Canapé 3 places,5,1231.15
2024-01-05,Bricolage,Boîte à outils,6,499.26
2024-01-05,Sport,Raquette tennis,5,3530.95
2024-01-05,Mode,Baskets ville,3,1381.53
2024-01-05,Maison,Set casseroles,5,3357.54
2024-01-05,Mode,Pull laine,4,3184.16
2024-01-06,Sport,Raquette tennis,3,2118.57
2024-01-07,Mode,Baskets ville,1,460.51
2024-01-07,Sport,Chaussures running,5,2705.27
2024-01-07,Mode,Jean homme,1,272.27
2024-01-08,Sport,Haltères 10kg,2,176.94
2024-01-08,Sport,Haltères 10kg,3,294.9
2024-01-08,Bricolage,Boîte à outils,2,166.42
2024-01-08,Sport,Vélo VTT,5,2453.45
2024-01-08,Maison,Lampe LED,4,510.04
2024-01-09,Mode,Baskets ville,6,2486.75
2024-01-09,Sport,Vélo VTT,4,2180.84
2024-01-09,Sport,Tapis yoga,3,1876.33
2024-01-09,Sport,Raquette tennis,9,6037.92
2024-01-09,Électroménager,Robot cuiseur,1,237.47
2024-01-10,Sport,Haltères 10kg,1,98.3
2024-01-10,Électroménager,Robot cuiseur,5,1249.85
2024-01-10,Bricolage,Peinture 5L,3,1827.0
2024-01-11,Bricolage,Peinture 5L,4,2436.0
2024-01-13,Mode,Jean homme,3,816.81
2024-01-14,Bricolage,Peinture 5L,8,4872.0
2024-01-14,Maison,Lampe LED,7,939.54
2024-01-14,Maison,Couette 220x240,5,1120.45
2024-01-14,Sport,Maillot bain,6,2104.62
2024-01-14,Maison,Étagère bois,7,1957.13
2024-01-15,Maison,Lampe LED,6,805.32
2024-01-15,Sport,Raquette tennis,5,3530.95
2024-01-16,Sport,Tapis yoga,2,1316.72
2024-01-16,Maison,Canapé 3 places,1,246.23
2024-01-16,Mode,Pull laine,5,4422.45
2024-01-16,Bricolage,Tournevis set,7,4453.96
2024-01-16,Maison,Rideau occultant,2,202.42
2024-01-16,Bricolage,Boîte à outils,1,83.21
2024-01-17,Électroménager,Cafetière,1,353.02
2024-01-17,Électroménager,Micro-ondes,5,2265.8
2024-01-18,Maison,Set casseroles,3,2120.55
2024-01-18,Mode,Pull laine,4,3537.96
2024-01-19,Électroménager,Cafetière,2,784.48
2024-01-19,Bricolage,Tournevis set,8,5090.24
2024-01-19,Bricolage,Tournevis set,3,1908.84
2024-01-19,Mode,Baskets ville,7,3223.57
2024-01-19,Sport,Maillot bain,9,2525.54
2024-01-19,Mode,T-shirt coton,2,1009.34
2024-01-19,Mode,Jean homme,3,735.13
2024-01-20,Mode,Pull laine,5,3980.2
2024-01-20,Mode,T-shirt coton,3,1514.01
2024-01-20,Sport,Haltères 10kg,1,88.47
2024-01-21,Mode,Veste hiver,2,1311.98
2024-01-21,Mode,Pull laine,5,4422.45
2024-01-21,Sport,Chaussures running,4,2278.12
2024-01-21,Mode,Pull laine,1,884.49
2024-01-22,Mode,Jean homme,3,816.81
2024-01-22,Sport,Maillot bain,7,2455.39
2024-01-22,Sport,Chaussures running,5,2847.65
2024-01-23,Maison,Set casseroles,1,636.17
2024-01-23,Sport,Tapis yoga,6,3555.14
2024-01-24,Électroménager,Aspirateur,8,1529.44
2024-01-25,Électroménager,Aspirateur,1,191.18
2024-01-25,Mode,Pull laine,1,884.49
2024-01-25,Mode,Veste hiver,3,1869.57
2024-01-25,Électroménager,Cafetière,3,1176.72
2024-01-25,Sport,Raquette tennis,5,3530.95
2024-01-26,Sport,Vélo VTT,7,3816.47
2024-01-26,Électroménager,Cafetière,7,2608.4
2024-01-27,Bricolage,Peinture 5L,7,4263.0
2024-01-28,Électroménager,Micro-ondes,7,3172.12
2024-01-28,Sport,Ballon foot,5,500.5
2024-01-28,Sport,Raquette tennis,6,4237.14
2024-01-29,Bricolage,Tournevis set,3,1908.84
2024-01-29,Maison,Set casseroles,2,1413.7
2024-01-29,Mode,Baskets ville,3,1381.53
2024-01-29,Sport,Vélo VTT,2,981.38
2024-01-30,Mode,Robe été,3,889.56
2024-01-30,Sport,Haltères 10kg,1,98.3
2024-01-30,Maison,Set casseroles,3,2120.55
2024-02-01,Mode,Robe été,3,889.56
2024-02-01,Mode,Robe été,2,593.04
2024-02-01,Sport,Maillot bain,4,1332.93
2024-02-02,Mode,Baskets ville,3,1381.53
2024-02-02,Électroménager,Micro-ondes,2,906.32
2024-02-03,Sport,Ballon foot,2,180.18
2024-02-03,Maison,Étagère bois,2,559.18
2024-02-03,Sport,Chaussures running,2,1139.06
2024-02-04,Sport,Tapis yoga,3,1777.57
2024-02-04,Électroménager,Micro-ondes,1,453.16
2024-02-04,Maison,Étagère bois,3,838.77
2024-02-05,Mode,Robe été,4,1186.08
2024-02-05,Mode,Veste hiver,4,2623.96
2024-02-05,Bricolage,Échelle alu,4,1418.68
2024-02-06,Mode,Veste hiver,1,655.99
2024-02-06,Sport,Ballon foot,4,320.32
2024-02-06,Sport,Raquette tennis,2,1412.38
2024-02-06,Mode,Jean homme,4,1089.08
2024-02-06,Mode,Veste hiver,3,1967.97
2024-02-07,Sport,Chaussures running,2,1139.06
2024-02-08,Sport,Haltères 10kg,4,393.2
2024-02-08,Bricolage,Échelle alu,1,354.67
2024-02-08,Électroménager,Cafetière,3,1176.72
2024-02-08,Sport,Haltères 10kg,3,294.9
2024-02-08,Mode,Veste hiver,2,1311.98
2024-02-08,Mode,T-shirt coton,1,504.67
2024-02-09,Maison,Set casseroles,1,706.85
2024-02-10,Maison,Couette 220x240,1,212.89
2024-02-11,Bricolage,Peinture 5L,1,609.0
2024-02-11,Maison,Set casseroles,1,706.85
2024-02-11,Mode,Baskets ville,1,460.51
2024-02-11,Sport,Raquette tennis,3,2012.64
2024-02-11,Maison,Couette 220x240,4,896.36
2024-02-11,Sport,Tapis yoga,4,2633.44
2024-02-12,Maison,Rideau occultant,3,303.63
2024-02-12,Électroménager,Cafetière,3,1059.05
2024-02-12,Bricolage,Perceuse,4,422.64
2024-02-12,Électroménager,Bouilloire,1,653.44
2024-02-13,Mode,Veste hiver,4,2623.96
2024-02-13,Électroménager,Cafetière,4,1490.51
2024-02-13,Sport,Maillot bain,3,999.69
2024-02-14,Mode,Jean homme,3,816.81
2024-02-15,Sport,Maillot bain,2,701.54
2024-02-15,Électroménager,Bouilloire,2,1379.48
2024-02-16,Mode,T-shirt coton,4,2018.68
2024-02-17,Mode,Pull laine,1,884.49
2024-02-19,Mode,Pull laine,3,2388.12
2024-02-19,Mode,T-shirt coton,2,1009.34
2024-02-19,Mode,Veste hiver,2,1311.98
2024-02-20,Électroménager,Robot cuiseur,1,249.97
