date,ville,categorie,produit,quantite,montant
2023-06-23,En ligne,Maison,Couette 220x240,2,448.18
2023-06-23,Lille,Sport,Raquette tennis,4,2824.76
2023-06-23,En ligne,Maison,Canapé 3 places,5,1231.15
2023-06-23,En ligne,Bricolage,Peinture 5L,1,609.0
2023-06-23,Tourcoing,Mode,T-shirt coton,1,504.67
2023-06-23,Roubaix,Bricolage,Perceuse,2,211.32
2023-06-23,Dunkerque,Mode,T-shirt coton,2,1009.34
2023-06-23,Roubaix,Sport,Vélo VTT,3,1472.07
2023-06-23,Lille,Maison,Étagère bois,3,796.83
2023-06-23,Valenciennes,Bricolage,Tournevis set,3,1908.84
2023-06-23,Valenciennes,Mode,Pull laine,5,3537.96
2023-06-23,En ligne,Mode,T-shirt coton,4,1917.75
2023-06-23,Roubaix,Sport,Raquette tennis,1,706.19
2023-06-23,Tourcoing,Maison,Lampe LED,3,402.66
2023-06-24,Dunkerque,Mode,Pull laine,6,5306.94
2023-06-24,Valenciennes,Électroménager,Robot cuiseur,2,499.94
2023-06-24,Roubaix,Électroménager,Aspirateur,2,344.12
2023-06-24,Valenciennes,Maison,Rideau occultant,1,80.97
2023-06-24,Valenciennes,Électroménager,Robot cuiseur,1,249.97
2023-06-24,Dunkerque,Maison,Lampe LED,1,134.22
2023-06-24,Valenciennes,Sport,Chaussures running,4,2278.12
2023-06-24,Lille,Bricolage,Peinture 5L,1,609.0
2023-06-24,Amiens,Mode,Jean homme,3,816.81
2023-06-24,Valenciennes,Maison,Couette 220x240,2,448.18
2023-06-24,Valenciennes,Mode,Robe été,2,593.04
2023-06-24,Dunkerque,Sport,Ballon foot,1,100.1
2023-06-24,Roubaix,Bricolage,Perceuse,2,211.32
2023-06-24,Lille,Maison,Couette 220x240,1,224.09
2023-06-25,Roubaix,Bricolage,Tournevis set,3,1908.84
2023-06-25,Lille,Mode,Baskets ville,3,1381.53
2023-06-25,Valenciennes,Maison,Étagère bois,5,1397.95
2023-06-25,En ligne,Bricolage,Échelle alu,3,1064.01
2023-06-25,Lille,Mode,Baskets ville,2,921.02
2023-06-25,Valenciennes,Maison,Étagère bois,1,279.59
2023-06-25,Dunkerque,Mode,Pull laine,3,2653.47
2023-06-25,Roubaix,Sport,Tapis yoga,2,1316.72
2023-06-25,Valenciennes,Électroménager,Bouilloire,2,1379.48
2023-06-25,Lille,Maison,Étagère bois,5,1118.36
2023-06-25,Lille,Sport,Ballon foot,1,100.1
2023-06-25,Amiens,Mode,Robe été,1,296.52
2023-06-25,Lille,Sport,Raquette tennis,4,2542.28
2023-06-25,Lille,Mode,Jean homme,4,1034.63
2023-06-26,En ligne,Électroménager,Aspirateur,1,191.18
2023-06-26,Dunkerque,Électroménager,Bouilloire,2,1306.87
2023-06-26,Valenciennes,Bricolage,Échelle alu,1,319.2
2023-06-26,Dunkerque,Bricolage,Tournevis set,2,1208.93
2023-06-26,En ligne,Bricolage,Peinture 5L,4,2436.0
2023-06-26,Dunkerque,Mode,T-shirt coton,4,2018.68
2023-06-26,Lille,Sport,Vélo VTT,3,1635.63
2023-06-26,Roubaix,Maison,Couette 220x240,3,672.27
2023-06-26,Dunkerque,Sport,Haltères 10kg,3,265.41
2023-06-26,Amiens,Sport,Maillot bain,1,350.77
2023-06-26,En ligne,Électroménager,Bouilloire,4,2904.16
2023-06-26,Lille,Sport,Chaussures running,2,1139.06
2023-06-26,Dunkerque,Mode,Veste hiver,1,655.99
2023-06-26,Lille,Électroménager,Aspirateur,5,955.9
2023-06-26,Roubaix,Bricolage,Tournevis set,1,636.28
2023-06-26,En ligne,Électroménager,Aspirateur,5,955.9
2023-06-26,Lille,Bricolage,Perceuse,5,528.3
2023-06-26,Lille,Maison,Couette 220x240,5,1120.45
2023-06-26,Valenciennes,Maison,Rideau occultant,4,404.84
2023-06-27,Roubaix,Électroménager,Cafetière,1,392.24
2023-06-27,Roubaix,Électroménager,Bouilloire,3,2178.12
2023-06-27,Valenciennes,Sport,Raquette tennis,3,2118.57
2023-06-27,Tourcoing,Électroménager,Aspirateur,5,955.9
2023-06-27,Lille,Maison,Rideau occultant,3,288.45
2023-06-27,Roubaix,Mode,T-shirt coton,1,504.67
2023-06-27,Valenciennes,Électroménager,Réfrigérateur,4,1549.48
2023-06-27,Amiens,Mode,Baskets ville,2,921.02
2023-06-27,Lille,Maison,Set casseroles,4,2827.4
2023-06-27,Roubaix,Mode,Baskets ville,3,1381.53
2023-06-27,Dunkerque,Sport,Chaussures running,2,1139.06
2023-06-27,Dunkerque,Maison,Couette 220x240,1,224.09
2023-06-27,Valenciennes,Sport,Tapis yoga,2,1316.72
2023-06-27,Lille,Maison,Étagère bois,4,1118.36
2023-06-27,Lille,Mode,T-shirt coton,3,1514.01
2023-06-27,Lille,Maison,Set casseroles,2,1413.7
2023-06-27,Lille,Mode,T-shirt coton,2,1009.34
2023-06-28,En ligne,Sport,Chaussures running,3,1708.59
2023-06-28,Roubaix,Bricolage,Tournevis set,6,3817.68
2023-06-28,Amiens,Maison,Canapé 3 places,4,984.92
2023-06-28,Roubaix,Maison,Lampe LED,3,382.53
2023-06-28,Tourcoing,Mode,Robe été,1,296.52
2023-06-28,Dunkerque,Maison,Couette 220x240,4,896.36
2023-06-28,Amiens,Maison,Lampe LED,1,134.22
2023-06-28,Amiens,Maison,Set casseroles,2,1343.02
2023-06-28,Tourcoing,Sport,Vélo VTT,4,2180.84
2023-06-28,Roubaix,Sport,Raquette tennis,4,2542.28
2023-06-28,Roubaix,Maison,Set casseroles,5,3534.25
2023-06-28,Amiens,Électroménager,Robot cuiseur,4,999.88
2023-06-28,En ligne,Mode,Robe été,4,1126.78
2023-06-28,Valenciennes,Maison,Couette 220x240,2,403.36
2023-06-28,Amiens,Maison,Couette 220x240,3,672.27
2023-06-28,Dunkerque,Maison,Set casseroles,4,2827.4
2023-06-28,Roubaix,Sport,Haltères 10kg,4,393.2
2023-06-28,Lille,Bricolage,Échelle alu,1,319.2
2023-06-28,Valenciennes,Sport,Tapis yoga,5,3291.8
2023-06-28,Roubaix,Bricolage,Boîte à outils,2,166.42
2023-06-28,Roubaix,Maison,Set casseroles,5,3534.25
2023-06-28,Tourcoing,Bricolage,Échelle alu,3,1064.01
2023-06-28,Lille,Mode,Pull laine,1,884.49
2023-06-29,En ligne,Maison,Rideau occultant,3,303.63
2023-06-29,Lille,Mode,Baskets ville,2,921.02
2023-06-29,Lille,Maison,Set casseroles,2,1343.02
2023-06-29,Tourcoing,Électroménager,Bouilloire,2,1452.08
2023-06-29,Roubaix,Maison,Canapé 3 places,3,738.69
2023-06-29,Tourcoing,Bricolage,Échelle alu,1,354.67
2023-06-29,Valenciennes,Bricolage,Peinture 5L,3,1735.65
2023-06-29,Dunkerque,Électroménager,Bouilloire,2,1452.08
2023-06-29,Amiens,Maison,Étagère bois,3,838.77
2023-06-30,Dunkerque,Maison,Étagère bois,4,1062.44
2023-06-30,Valenciennes,Sport,Maillot bain,3,1052.31
2023-06-30,Lille,Électroménager,Réfrigérateur,5,1936.85
2023-06-30,Tourcoing,Mode,Baskets ville,1,414.46
2023-06-30,Valenciennes,Maison,Set casseroles,2,1413.7
2023-06-30,Lille,Bricolage,Peinture 5L,4,2436.0
2023-06-30,Tourcoing,Sport,Haltères 10kg,1,93.38
2023-06-30,Tourcoing,Maison,Lampe LED,2,268.44
2023-06-30,Lille,Sport,Maillot bain,6,2104.62
2023-06-30,Lille,Sport,Chaussures running,4,2278.12
2023-06-30,Valenciennes,Électroménager,Robot cuiseur,3,674.92
2023-06-30,Lille,Sport,Maillot bain,3,1052.31
2023-06-30,Valenciennes,Mode,Baskets ville,1,460.51
2023-06-30,Valenciennes,Bricolage,Peinture 5L,3,1827.0
2023-06-30,Valenciennes,Bricolage,Échelle alu,1,336.94
2023-06-30,Tourcoing,Mode,Baskets ville,1,460.51
2023-06-30,Roubaix,Sport,Tapis yoga,4,2370.1
2023-06-30,Dunkerque,Maison,Couette 220x240,3,672.27
2023-06-30,Tourcoing,Maison,Canapé 3 places,2,492.46
2023-07-01,Lille,Mode,Pull laine,4,3537.96
2023-07-01,Amiens,Bricolage,Tournevis set,1,636.28
2023-07-01,Valenciennes,Électroménager,Robot cuiseur,3,749.91
2023-07-01,Lille,Sport,Vélo VTT,4,2180.84
2023-07-01,Roubaix,Sport,Maillot bain,5,1666.16
2023-07-01,En ligne,Électroménager,Micro-ondes,3,1087.58
2023-07-01,En ligne,Mode,Robe été,7,2075.64
2023-07-01,Valenciennes,Électroménager,Réfrigérateur,4,1549.48
2023-07-01,Amiens,Bricolage,Perceuse,2,200.75
2023-07-01,En ligne,Sport,Ballon foot,3,300.3
2023-07-01,Amiens,Sport,Maillot bain,3,947.08
2023-07-01,Lille,Mode,Baskets ville,6,2763.06
2023-07-01,En ligne,Mode,Jean homme,2,544.54
2023-07-01,Lille,Mode,Robe été,4,1186.08
2023-07-01,Tourcoing,Mode,Jean homme,5,1361.35
2023-07-01,Amiens,Bricolage,Échelle alu,3,1064.01
2023-07-02,Amiens,Électroménager,Aspirateur,2,382.36
2023-07-02,Dunkerque,Sport,Ballon foot,1,100.1
2023-07-02,Amiens,Bricolage,Boîte à outils,4,332.84
2023-07-02,Roubaix,Maison,Couette 220x240,2,448.18
2023-07-02,Amiens,Électroménager,Robot cuiseur,5,1249.85
2023-07-02,Lille,Sport,Haltères 10kg,7,619.29
2023-07-02,Lille,Sport,Ballon foot,1,90.09
2023-07-02,Lille,Mode,T-shirt coton,1,504.67
2023-07-02,Roubaix,Électroménager,Robot cuiseur,1,237.47
2023-07-02,Roubaix,Mode,Pull laine,4,3184.16
2023-07-02,Amiens,Électroménager,Aspirateur,7,1338.26
2023-07-02,Lille,Bricolage,Perceuse,5,528.3
2023-07-02,Lille,Sport,Raquette tennis,6,4237.14
2023-07-02,Tourcoing,Bricolage,Échelle alu,3,1064.01
2023-07-02,Valenciennes,Électroménager,Cafetière,5,1961.2
2023-07-02,Dunkerque,Électroménager,Aspirateur,7,1070.61
2023-07-02,Dunkerque,Sport,Chaussures running,2,1139.06
2023-07-02,Lille,Mode,T-shirt coton,6,2876.62
2023-07-02,Tourcoing,Maison,Lampe LED,3,402.66
2023-07-02,Valenciennes,Bricolage,Perceuse,3,301.13
2023-07-02,Lille,Sport,Vélo VTT,5,2726.05
2023-07-02,Lille,Sport,Chaussures running,3,1708.59
2023-07-02,Valenciennes,Sport,Haltères 10kg,4,393.2
2023-07-02,Lille,Électroménager,Robot cuiseur,2,499.94
2023-07-02,Lille,Mode,Robe été,5,1482.6
2023-07-03,Dunkerque,Maison,Lampe LED,5,637.54
2023-07-03,Amiens,Électroménager,Robot cuiseur,3,749.91
2023-07-03,Amiens,Maison,Set casseroles,5,3534.25
2023-07-03,Amiens,Mode,Pull laine,4,3361.06
2023-07-03,Amiens,Sport,Tapis yoga,1,625.44
2023-07-03,Lille,Bricolage,Perceuse,1,105.66
2023-07-03,Lille,Maison,Étagère bois,4,1118.36
2023-07-03,Dunkerque,Bricolage,Tournevis set,9,5726.52
2023-07-03,Dunkerque,Sport,Haltères 10kg,5,491.5
2023-07-03,Lille,Électroménager,Cafetière,4,1568.96
2023-07-03,Tourcoing,Sport,Chaussures running,2,1139.06
2023-07-03,Roubaix,Mode,Baskets ville,3,1381.53
2023-07-03,Tourcoing,Maison,Étagère bois,4,1118.36
2023-07-03,Roubaix,Maison,Étagère bois,8,2236.72
2023-07-04,En ligne,Bricolage,Peinture 5L,6,3288.6
2023-07-04,Roubaix,Maison,Lampe LED,9,1207.98
2023-07-04,Dunkerque,Maison,Set casseroles,7,4947.95
2023-07-04,Lille,Électroménager,Aspirateur,4,764.72
2023-07-04,Valenciennes,Mode,Pull laine,8,6368.33
2023-07-04,Lille,Bricolage,Perceuse,6,633.96
2023-07-04,En ligne,Mode,T-shirt coton,3,1438.31
2023-07-04,En ligne,Mode,Pull laine,5,4422.45
2023-07-04,Lille,Sport,Haltères 10kg,3,294.9
2023-07-04,Tourcoing,Sport,Haltères 10kg,1,98.3
2023-07-04,Roubaix,Bricolage,Échelle alu,4,1418.68
2023-07-04,Lille,Mode,Veste hiver,2,1311.98
2023-07-05,Roubaix,Maison,Canapé 3 places,6,1477.38
2023-07-05,Lille,Sport,Vélo VTT,2,1090.42
2023-07-05,En ligne,Électroménager,Robot cuiseur,4,999.88
2023-07-05,Lille,Mode,Baskets ville,6,2624.91
2023-07-05,Lille,Bricolage,Tournevis set,4,2417.86
2023-07-05,Lille,Bricolage,Peinture 5L,2,1218.0
2023-07-05,Valenciennes,Maison,Canapé 3 places,3,738.69
2023-07-05,Lille,Mode,T-shirt coton,1,504.67
2023-07-05,Tourcoing,Mode,Veste hiver,4,2623.96
2023-07-05,Tourcoing,Bricolage,Échelle alu,5,1773.35
2023-07-05,Lille,Mode,Veste hiver,8,5247.92
2023-07-05,Tourcoing,Mode,Robe été,3,889.56
2023-07-05,Dunkerque,Mode,Robe été,1,296.52
2023-07-05,Roubaix,Sport,Chaussures running,3,1708.59
2023-07-05,Lille,Mode,Pull laine,4,3537.96
2023-07-05,Lille,Mode,T-shirt coton,3,1514.01
2023-07-05,Dunkerque,Maison,Canapé 3 places,3,701.76
2023-07-05,Dunkerque,Maison,Canapé 3 places,4,984.92
2023-07-05,Valenciennes,Sport,Maillot bain,3,999.69
2023-07-05,Tourcoing,Électroménager,Aspirateur,6,1147.08
2023-07-06,Valenciennes,Sport,Maillot bain,4,1403.08
2023-07-06,Tourcoing,Mode,Jean homme,4,1089.08
2023-07-06,Amiens,Mode,Jean homme,6,1633.62
2023-07-06,Lille,Électroménager,Micro-ondes,2,906.32
2023-07-06,Dunkerque,Mode,Veste hiver,3,1967.97
2023-07-06,Lille,Bricolage,Échelle alu,8,2837.36
2023-07-06,Lille,Sport,Raquette tennis,6,4237.14
2023-07-06,En ligne,Sport,Vélo VTT,3,1635.63
2023-07-06,Lille,Sport,Maillot bain,5,1753.85
2023-07-06,Roubaix,Mode,T-shirt coton,7,3532.69
2023-07-06,En ligne,Mode,Pull laine,3,2520.8
2023-07-06,Valenciennes,Mode,Veste hiver,1,655.99
2023-07-06,Lille,Maison,Lampe LED,2,268.44
2023-07-06,Dunkerque,Mode,Jean homme,4,1089.08
2023-07-06,Lille,Électroménager,Micro-ondes,1,453.16
2023-07-06,En ligne,Bricolage,Tournevis set,7,4453.96
2023-07-06,Lille,Bricolage,Peinture 5L,5,3045.0
2023-07-06,Valenciennes,Bricolage,Échelle alu,5,1596.02
2023-07-06,Dunkerque,Maison,Set casseroles,1,706.85
2023-07-06,Lille,Maison,Lampe LED,5,637.54
2023-07-06,Amiens,Sport,Vélo VTT,6,3271.26
2023-07-06,Valenciennes,Mode,T-shirt coton,7,3532.69
2023-07-06,Lille,Mode,T-shirt coton,6,3028.02
2023-07-07,Roubaix,Électroménager,Réfrigérateur,3,1104.0
2023-07-07,Amiens,Électroménager,Réfrigérateur,1,368.0
2023-07-07,Valenciennes,Sport,Ballon foot,1,100.1
2023-07-07,Valenciennes,Sport,Raquette tennis,4,2259.81
2023-07-07,Roubaix,Maison,Couette 220x240,1,224.09
2023-07-07,Roubaix,Sport,Tapis yoga,3,1975.08
2023-07-07,Amiens,Mode,Pull laine,6,5306.94
2023-07-07,En ligne,Mode,Pull laine,8,6368.33
2023-07-07,Lille,Électroménager,Cafetière,5,1961.2
2023-07-07,Dunkerque,Électroménager,Robot cuiseur,5,1249.85
2023-07-07,En ligne,Électroménager,Micro-ondes,4,1812.64
2023-07-07,Lille,Mode,Pull laine,5,4422.45
2023-07-07,Tourcoing,Sport,Maillot bain,5,1403.08
2023-07-07,Valenciennes,Mode,Pull laine,1,884.49
2023-07-07,Amiens,Sport,Raquette tennis,7,4696.16
2023-07-07,Amiens,Sport,Maillot bain,5,1753.85
2023-07-07,Lille,Mode,Veste hiver,2,1311.98
2023-07-07,Roubaix,Électroménager,Cafetière,2,784.48
2023-07-07,Lille,Électroménager,Bouilloire,4,2904.16
2023-07-07,Dunkerque,Mode,Veste hiver,8,5247.92
2023-07-07,Valenciennes,Mode,T-shirt coton,4,2018.68
2023-07-08,En ligne,Mode,Pull laine,1,796.04
2023-07-08,Lille,Mode,Baskets ville,6,2486.75
2023-07-08,En ligne,Mode,Jean homme,4,1089.08
2023-07-08,Dunkerque,Mode,Baskets ville,3,1381.53
2023-07-08,Lille,Électroménager,Micro-ondes,2,861.0
2023-07-08,Valenciennes,Électroménager,Micro-ondes,5,2265.8
2023-07-08,Roubaix,Électroménager,Cafetière,6,2353.44
2023-07-08,En ligne,Maison,Set casseroles,8,5089.32
2023-07-08,Dunkerque,Maison,Canapé 3 places,5,1231.15
2023-07-08,Dunkerque,Bricolage,Boîte à outils,2,166.42
2023-07-08,Amiens,Maison,Couette 220x240,4,896.36
2023-07-08,Dunkerque,Électroménager,Micro-ondes,6,2718.96
2023-07-08,Tourcoing,Maison,Étagère bois,5,1397.95
2023-07-08,Roubaix,Maison,Couette 220x240,3,672.27
2023-07-08,Roubaix,Maison,Couette 220x240,5,1120.45
2023-07-08,Dunkerque,Maison,Canapé 3 places,3,738.69
2023-07-08,Dunkerque,Mode,Jean homme,6,1633.62
2023-07-09,Lille,Électroménager,Robot cuiseur,2,499.94
2023-07-09,Tourcoing,Maison,Lampe LED,3,402.66
2023-07-09,Valenciennes,Sport,Raquette tennis,6,4025.28
2023-07-09,Roubaix,Maison,Canapé 3 places,3,738.69
2023-07-09,Roubaix,Sport,Chaussures running,2,1139.06
2023-07-09,Roubaix,Bricolage,Perceuse,8,845.28
2023-07-09,Lille,Mode,Baskets ville,4,1842.04
2023-07-09,Roubaix,Sport,Chaussures running,6,3417.18
2023-07-09,Lille,Électroménager,Micro-ondes,2,861.0
2023-07-09,Roubaix,Maison,Rideau occultant,3,303.63
2023-07-09,Dunkerque,Mode,Robe été,6,1690.16
2023-07-09,Lille,Bricolage,Boîte à outils,6,499.26
2023-07-09,En ligne,Bricolage,Perceuse,3,316.98
2023-07-09,Valenciennes,Électroménager,Robot cuiseur,3,749.91
2023-07-09,Lille,Maison,Rideau occultant,4,404.84
2023-07-09,Tourcoing,Sport,Maillot bain,5,1753.85
2023-07-09,Tourcoing,Maison,Canapé 3 places,5,1231.15
2023-07-09,Dunkerque,Électroménager,Réfrigérateur,5,1840.01
2023-07-10,Roubaix,Électroménager,Réfrigérateur,2,736.0
2023-07-10,Lille,Bricolage,Peinture 5L,5,3045.0
2023-07-10,Lille,Électroménager,Cafetière,1,392.24
2023-07-10,Roubaix,Bricolage,Perceuse,2,211.32
2023-07-10,Lille,Électroménager,Aspirateur,1,191.18
2023-07-10,Tourcoing,Électroménager,Bouilloire,3,2178.12
2023-07-10,En ligne,Électroménager,Micro-ondes,3,1359.48
2023-07-10,Roubaix,Sport,Raquette tennis,1,706.19
2023-07-10,Tourcoing,Maison,Set casseroles,4,2686.03
2023-07-10,Roubaix,Sport,Maillot bain,3,1052.31
2023-07-10,Tourcoing,Maison,Canapé 3 places,3,738.69
2023-07-10,En ligne,Bricolage,Tournevis set,6,3435.91
2023-07-10,Roubaix,Électroménager,Robot cuiseur,6,1499.82
2023-07-10,Valenciennes,Sport,Vélo VTT,3,1635.63
2023-07-10,Roubaix,Bricolage,Perceuse,6,633.96
2023-07-10,Dunkerque,Sport,Maillot bain,2,701.54
2023-07-10,Dunkerque,Électroménager,Aspirateur,2,382.36
2023-07-10,Lille,Bricolage,Boîte à outils,6,499.26
2023-07-10,En ligne,Bricolage,Perceuse,2,169.06
2023-07-10,Roubaix,Sport,Vélo VTT,2,1035.9
2023-07-11,Lille,Sport,Haltères 10kg,3,294.9
2023-07-11,En ligne,Maison,Set casseroles,2,1130.96
2023-07-11,En ligne,Maison,Couette 220x240,3,537.82
2023-07-11,Tourcoing,Électroménager,Aspirateur,4,764.72
2023-07-11,Valenciennes,Sport,Maillot bain,3,1052.31
2023-07-11,Valenciennes,Maison,Couette 220x240,5,1120.45
2023-07-11,Dunkerque,Bricolage,Échelle alu,1,354.67
2023-07-11,Amiens,Électroménager,Bouilloire,6,4356.24
2023-07-11,Lille,Maison,Canapé 3 places,5,1231.15
2023-07-11,Roubaix,Électroménager,Aspirateur,1,191.18
2023-07-11,Lille,Bricolage,Tournevis set,1,604.47
2023-07-11,Lille,Bricolage,Peinture 5L,2,1218.0
2023-07-11,Roubaix,Bricolage,Tournevis set,7,4453.96
2023-07-11,Lille,Électroménager,Bouilloire,6,4356.24
2023-07-11,Lille,Bricolage,Boîte à outils,6,499.26
2023-07-11,Roubaix,Électroménager,Bouilloire,1,726.04
2023-07-11,Dunkerque,Électroménager,Robot cuiseur,2,499.94
2023-07-11,Dunkerque,Mode,Jean homme,5,1361.35
2023-07-11,Tourcoing,Maison,Étagère bois,2,559.18
2023-07-12,Valenciennes,Mode,Jean homme,2,544.54
2023-07-12,Tourcoing,Maison,Étagère bois,4,1118.36
2023-07-12,Roubaix,Sport,Tapis yoga,7,4608.52
2023-07-12,Tourcoing,Maison,Set casseroles,5,2827.4
2023-07-12,Valenciennes,Mode,Jean homme,7,1905.89
2023-07-12,Valenciennes,Maison,Rideau occultant,2,202.42
2023-07-12,Roubaix,Mode,T-shirt coton,5,2397.18
2023-07-12,Roubaix,Bricolage,Échelle alu,2,709.34
2023-07-12,Roubaix,Maison,Couette 220x240,1,224.09
2023-07-12,Tourcoing,Bricolage,Boîte à outils,1,83.21
2023-07-12,Tourcoing,Maison,Rideau occultant,5,506.05
2023-07-12,Amiens,Électroménager,Micro-ondes,1,453.16
2023-07-12,Amiens,Mode,Jean homme,3,816.81
2023-07-12,Amiens,Maison,Rideau occultant,1,80.97
2023-07-12,Valenciennes,Maison,Couette 220x240,4,896.36
2023-07-12,Lille,Électroménager,Réfrigérateur,4,1549.48
2023-07-12,Amiens,Électroménager,Robot cuiseur,1,249.97
2023-07-12,Tourcoing,Mode,Robe été,1,296.52
2023-07-13,Tourcoing,Mode,Baskets ville,6,2763.06
2023-07-13,Roubaix,Maison,Rideau occultant,2,202.42
2023-07-13,Valenciennes,Sport,Haltères 10kg,5,466.92
2023-07-13,Tourcoing,Sport,Haltères 10kg,1,98.3
2023-07-13,Tourcoing,Sport,Haltères 10kg,2,176.94
2023-07-13,En ligne,Sport,Tapis yoga,2,1316.72
2023-07-13,Lille,Électroménager,Bouilloire,6,4138.43
2023-07-13,Amiens,Mode,Veste hiver,9,5903.91
2023-07-13,Lille,Sport,Chaussures running,1,541.05
2023-07-13,Dunkerque,Bricolage,Échelle alu,4,1418.68
2023-07-13,Dunkerque,Bricolage,Échelle alu,2,709.34
2023-07-13,En ligne,Sport,Ballon foot,8,800.8
2023-07-13,Valenciennes,Maison,Couette 220x240,3,672.27
2023-07-13,Lille,Électroménager,Réfrigérateur,3,1162.11
2023-07-13,Amiens,Maison,Lampe LED,6,724.79
2023-07-13,Roubaix,Électroménager,Micro-ondes,7,3172.12
2023-07-14,Lille,Maison,Couette 220x240,1,224.09
2023-07-14,Amiens,Mode,Robe été,6,1779.12
2023-07-14,Valenciennes,Électroménager,Bouilloire,9,6534.36
2023-07-14,Amiens,Électroménager,Cafetière,8,2510.34
2023-07-14,Dunkerque,Électroménager,Micro-ondes,5,2265.8
2023-07-14,Amiens,Maison,Couette 220x240,1,224.09
2023-07-14,Lille,Bricolage,Boîte à outils,8,665.68
2023-07-14,En ligne,Mode,Robe été,3,889.56
2023-07-14,Roubaix,Mode,T-shirt coton,5,2523.35
2023-07-14,En ligne,Sport,Ballon foot,4,380.38
2023-07-14,Dunkerque,Électroménager,Cafetière,8,3137.92
2023-07-14,Valenciennes,Maison,Set casseroles,5,3534.25
2023-07-14,Lille,Sport,Vélo VTT,2,1090.42
2023-07-14,En ligne,Électroménager,Micro-ondes,5,2265.8
2023-07-15,Dunkerque,Mode,Baskets ville,6,2210.45
2023-07-15,Roubaix,Mode,Pull laine,5,4422.45
2023-07-15,Lille,Mode,Baskets ville,8,3684.08
2023-07-15,Roubaix,Mode,Jean homme,8,2069.25
2023-07-15,Lille,Sport,Haltères 10kg,1,93.38
2023-07-15,Amiens,Sport,Raquette tennis,3,2118.57
2023-07-15,Lille,Sport,Tapis yoga,1,658.36
2023-07-15,En ligne,Maison,Set casseroles,2,1413.7
2023-07-15,Dunkerque,Bricolage,Échelle alu,5,1773.35
2023-07-15,Lille,Maison,Set casseroles,7,4947.95
2023-07-15,Lille,Bricolage,Peinture 5L,3,1827.0
2023-07-15,Amiens,Bricolage,Tournevis set,6,3817.68
2023-07-15,Tourcoing,Sport,Haltères 10kg,5,491.5
2023-07-15,En ligne,Maison,Canapé 3 places,2,492.46
2023-07-15,Amiens,Sport,Chaussures running,4,2278.12
2023-07-15,Tourcoing,Mode,T-shirt coton,3,1514.01
2023-07-15,Lille,Maison,Set casseroles,4,2827.4
2023-07-15,Amiens,Maison,Canapé 3 places,6,1477.38
2023-07-15,Roubaix,Sport,Haltères 10kg,5,491.5
2023-07-15,Tourcoing,Mode,T-shirt coton,3,1514.01
2023-07-15,Roubaix,Maison,Étagère bois,4,1118.36
2023-07-16,Valenciennes,Sport,Tapis yoga,3,1975.08
2023-07-16,Lille,Électroménager,Cafetière,6,2353.44
2023-07-16,Lille,Sport,Tapis yoga,5,3291.8
2023-07-16,Lille,Maison,Set casseroles,4,2686.03
2023-07-16,En ligne,Maison,Canapé 3 places,3,738.69
2023-07-16,Amiens,Mode,Veste hiver,7,4591.93
2023-07-16,En ligne,Sport,Tapis yoga,3,1975.08
2023-07-16,Amiens,Sport,Vélo VTT,6,3107.7
2023-07-16,Dunkerque,Maison,Étagère bois,2,559.18
2023-07-17,Lille,Électroménager,Cafetière,6,2353.44
2023-07-17,Tourcoing,Bricolage,Tournevis set,1,636.28
2023-07-17,Tourcoing,Mode,T-shirt coton,4,2018.68
2023-07-17,Roubaix,Électroménager,Micro-ondes,4,1812.64
2023-07-17,Tourcoing,Maison,Canapé 3 places,3,738.69
2023-07-17,Amiens,Bricolage,Boîte à outils,7,553.35
2023-07-17,Roubaix,Électroménager,Cafetière,3,1176.72
2023-07-17,Roubaix,Mode,T-shirt coton,5,2271.02
2023-07-17,Valenciennes,Électroménager,Aspirateur,5,955.9
2023-07-17,Lille,Électroménager,Micro-ondes,1,453.16
2023-07-17,Valenciennes,Bricolage,Perceuse,7,739.62
2023-07-17,Roubaix,Mode,Baskets ville,4,1842.04
2023-07-17,Roubaix,Sport,Vélo VTT,1,545.21
2023-07-17,En ligne,Bricolage,Boîte à outils,2,166.42
2023-07-17,Valenciennes,Sport,Tapis yoga,3,1975.08
2023-07-17,Tourcoing,Sport,Tapis yoga,2,1316.72
2023-07-17,Lille,Bricolage,Perceuse,6,633.96
2023-07-17,Dunkerque,Maison,Rideau occultant,5,506.05
2023-07-17,Lille,Bricolage,Peinture 5L,4,2192.4
2023-07-17,Roubaix,Maison,Rideau occultant,1,101.21
2023-07-18,Dunkerque,Électroménager,Aspirateur,5,955.9
2023-07-18,En ligne,Bricolage,Peinture 5L,3,1827.0
2023-07-18,En ligne,Mode,Robe été,6,1779.12
2023-07-18,Valenciennes,Mode,Jean homme,3,816.81
2023-07-18,En ligne,Sport,Tapis yoga,3,1975.08
2023-07-18,Valenciennes,Mode,Robe été,1,296.52
2023-07-18,Tourcoing,Maison,Set casseroles,1,706.85
2023-07-18,Roubaix,Électroménager,Bouilloire,4,2904.16
2023-07-18,Tourcoing,Bricolage,Peinture 5L,7,4263.0
2023-07-18,Lille,Mode,Veste hiver,1,655.99
2023-07-18,En ligne,Maison,Rideau occultant,2,202.42
2023-07-18,Tourcoing,Maison,Couette 220x240,1,224.09
2023-07-18,Dunkerque,Mode,Veste hiver,2,1180.78
2023-07-18,Roubaix,Électroménager,Micro-ondes,2,906.32
