id,raison_sociale,pays_declare,numero_tva,date_saisie,source_saisie
3020,Ardent Industries A/S,PT,pt646922009,2024-11-18,reprise_erp
3021,Metallo Services SA,IT,IT26419395470,2024-07-03,portail_client
3022,Lusitania Trading SAS,FR,FR823757212460,2024-11-27,reprise_erp
3023,Kappa Technologies NV,PL,  PL4210295558 ,2024-09-02,reprise_erp
3024,Metallo Foods SAS,IT,IT21746135290,2024-11-18,portail_client
3025,Delta Foods Sp. z o.o.,LU,LU.46931518,2024-07-26,crm
3026,Granit Foods SA,ZZ,ZZ636552918,2024-11-06,crm
3027,Kappa Transports SAS,PT,PT130441090,2024-11-16,reprise_erp
3028,Baltic Technologies Sp. z o.o.,QQ,QQ5210064291,2024-01-17,portail_client
3029,Fabrica Technologies AB,NL,NL564324863B04,2024-10-12,reprise_erp
3030,Metallo Industries SpA,NL,NL310812586B78,2025-06-02,reprise_erp
3031,Hanse Transports SARL,PT,PT948181036,2024-05-11,portail_client
3032,Metallo Materials SAS,DK,DK 5168 2793,2024-11-14,import_fournisseur
3033,Global Consulting SAS,SE,SE739815396001,2025-08-09,reprise_erp
3034,Meridian Technologies SARL,FR,FR78312181019,2024-06-25,reprise_erp
3035,Orion Transports SA,PL,PL6614084024,2024-07-14,crm
3036,Azur Distribution SA,NL,NL502096866B87,2024-09-29,crm
3037,Lumen Services GmbH,PL,PL4656314976,2025-07-07,portail_client
3038,Lumen Foods SAS,PL,PL67737770473,2025-02-19,crm
3039,Corvus Services A/S,IT,IT03038176569,2025-02-26,crm
3040,Vela Foods SARL,NL,NL-293628142B12,2024-03-31,portail_client
3041,Alpine Logistics AB,FI,FI32156376,2024-08-09,portail_client
3042,Vela Transports SA,NL,NL604909214B06,2025-03-05,portail_client
3043,Vertex Materials Lda,IT,IT74198213373,2025-07-12,import_fournisseur
3044,Papyrus Industries A/S,IT,IT71550533427,2025-01-31,crm
3045,Vela Transports SpA,LU,LU62559211,2025-09-16,saisie_manuelle
3046,Cobalt Transports SARL,NL,NL451321716B81,2024-10-31,crm
3047,Baltic Consulting SARL,FR,FR.25643186893,2024-03-15,saisie_manuelle
3048,Nord Distribution BV,BE,0174275445,2024-02-20,reprise_erp
3049,Batavia Logistics SARL,IT,IT52566208535,2024-02-29,portail_client
3050,Granit Services A/S,SE,905476782801,2024-10-15,import_fournisseur
3051,Lusitania Services Sp. z o.o.,FR,FR92970201431,2024-08-26,saisie_manuelle
3052,Azur Trading A/S,PT,PT567395083,2024-08-20,import_fournisseur
3053,Cobalt Distribution Sp. z o.o.,SE,SE045532336031,2025-03-22,reprise_erp
3054,Metallo Services A/S,DK,DK58568641,2024-01-17,reprise_erp
3055,Textil Industries Sp. z o.o.,IT,it10882004061,2025-09-03,portail_client
3056,Baltic Consulting AB,BE,BE1402993251,2025-07-17,saisie_manuelle
3057,Delta Distribution Lda,SE,SE942906078401,2024-09-22,saisie_manuelle
3058,Fabrica Services BV,PL,5271893805,2024-08-23,portail_client
3059,Cobalt Industries A/S,IT,IT31481551245,2024-11-27,crm
3060,Papyrus Consulting Oy,SE,  SE623445349301 ,2025-09-02,saisie_manuelle
3061,Papyrus Services GmbH,SE,SE860847344601,2024-09-21,saisie_manuelle
3062,Papyrus Services Oy,PL,PL6082994274,2025-07-28,crm
3063,Hanse Transports SARL,IT,it38353597719,2025-03-06,portail_client
3064,Hanse Logistics SAS,PL,5183033115,2024-03-17,import_fournisseur
3065,Kappa Transports AB,LU,LU69798850,2025-01-15,import_fournisseur
3066,Azur Technologies SpA,SE,SE756557299201,2024-11-27,saisie_manuelle
3067,Orion Logistics Oy,PL,PL 4955 288117,2024-08-14,import_fournisseur
3068,Corvus Logistics SARL,IT,IT86696412784,2025-05-17,import_fournisseur
3069,Nord Logistics SA,FR,FR54249708569,2024-09-16,saisie_manuelle
3070,Solaris Logistics GmbH,PL,8832446265,2024-08-22,import_fournisseur
3071,Fabrica Consulting SA,NL,NL581770869B15,2024-09-30,import_fournisseur
3072,Fabrica Materials GmbH,PL,PL7173933526,2024-10-02,import_fournisseur
3073,Vertex Trading SpA,FI,FI3599314,2024-03-01,reprise_erp
3074,Corvus Industries Oy,PL,PL8124363211,2025-07-11,saisie_manuelle
3075,Vertex Logistics GmbH,ZZ,ZZ0436079435,2025-03-20,saisie_manuelle
3076,Nord Foods GmbH,IT,it10025467258,2024-12-28,saisie_manuelle
3077,Fabrica Technologies A/S,FI,  FI64257543 ,2024-11-10,saisie_manuelle
3078,Batavia Materials Sp. z o.o.,IT,IT7376927899,2024-01-13,saisie_manuelle
3079,Fabrica Consulting SpA,PL,PL5555432746,2024-03-23,portail_client
3080,Lusitania Technologies Lda,PL,7134404185,2025-06-28,import_fournisseur
3081,Prima Services Oy,SE,SE748498870901,2024-01-17,import_fournisseur
3082,Batavia Logistics Oy,FR,FR34523265214,2024-04-10,saisie_manuelle
3083,Batavia Services Sp. z o.o.,IT,IT67505393636,2025-01-12,saisie_manuelle
3084,Azur Logistics NV,LU,LU 8923 2915,2024-08-13,portail_client
3085,Azur Industries GmbH,LU,LU19878144,2024-02-05,import_fournisseur
3086,Vela Trading GmbH,NL,NL510338781B79,2024-06-07,portail_client
3087,Prima Foods BV,DK,DK51656279,2024-04-23,saisie_manuelle
3088,Lusitania Transports Sp. z o.o.,FR,FR90712951384,2025-05-10,portail_client
3089,Orion Distribution BV,QQ,QQ40278153685,2024-03-28,reprise_erp
3090,Granit Services AB,FR,FR872670233716,2024-12-08,import_fournisseur
3091,Hanse Technologies SAS,DK,DK03910547,2025-02-04,portail_client
3092,Nord Logistics NV,LU,lu99576129,2024-10-27,portail_client
3093,Corvus Materials A/S,FR,FR6657O710355,2025-08-29,crm
3094,Lusitania Foods Sp. z o.o.,LU,LU72375204,2025-06-14,saisie_manuelle
3095,Metallo Industries A/S,NL,NL323949423B85,2024-04-08,crm
3096,Kappa Consulting BV,SE, ,2025-09-29,saisie_manuelle
3097,Lusitania Distribution NV,FR,FR263001806028,2025-01-18,reprise_erp
3098,Kappa Materials Lda,QQ,QQ55309779,2024-04-09,reprise_erp
3099,Hanse Industries Lda,PT,  PT989890341 ,2024-01-01,portail_client
3100,Atlantic Industries GmbH,FI,FI54979701,2025-01-04,reprise_erp
3101,Verso Transports BV,PT,PT893894397,2024-05-17,portail_client
3102,Baltic Trading SARL,SE,881368309401,2024-06-15,saisie_manuelle
3103,Fabrica Industries Lda,SE,SE463011064301,2025-07-10,reprise_erp
3104,Vela Technologies Lda,PT,PT282855106,2025-07-06,reprise_erp
3105,Vela Distribution SA,PL,PL5936997037,2024-12-30,import_fournisseur
3106,Verso Logistics SA,LU,lu44755866,2024-10-15,crm
3107,Orion Consulting SARL,PT,PT498349993,2024-04-15,portail_client
3108,Azur Foods SpA,PL,PL8029507044,2025-03-21,saisie_manuelle
3109,Baltic Trading SARL,FR,FR42298213512,2024-03-06,portail_client
3110,Solaris Services SAS,FI,FI15247938,2025-07-15,crm
3111,Papyrus Technologies SpA,DK,DK59879278,2024-06-12,import_fournisseur
3112,Solaris Distribution Oy,DK,DK39403102,2025-01-25,import_fournisseur
3113,Azur Logistics Sp. z o.o.,LU,LU68588778,2024-05-26,reprise_erp
3114,Baltic Trading SA,SE,  SE028923330601 ,2024-08-25,crm
3115,Papyrus Logistics NV,FI,FI53261626,2024-08-22,reprise_erp
3116,Delta Logistics NV,PT,PT885625404,2024-09-17,saisie_manuelle
3117,Granit Services Oy,IT,IT2941083710,2025-03-08,portail_client
3118,Papyrus Consulting SA,PT,PT.320725952,2024-08-12,crm
3119,Corvus Technologies BV,FR,FR82438597422,2024-06-12,import_fournisseur
3120,Cobalt Services A/S,BE,BE1437018772,2025-05-16,crm
3121,Verso Transports GmbH,ZZ,ZZ048092526B87,2024-02-09,import_fournisseur
3122,Textil Foods Sp. z o.o.,BE,BE 0114 387942,2025-09-18,reprise_erp
3123,Lumen Foods NV,LU,LU43563842,2024-06-17,saisie_manuelle
3124,Lumen Technologies Lda,FI,FI33489463,2024-05-18,import_fournisseur
3125,Orion Consulting SA,FR,FR-29144437500,2024-02-26,saisie_manuelle
3126,Fabrica Logistics SA,NL,NL7821006J2B96,2025-09-25,saisie_manuelle
3127,Azur Logistics AB,PT,PT231829574,2025-08-28,reprise_erp
3128,Orion Industries GmbH,PT,PT2468924204,2024-01-26,saisie_manuelle
3129,Meridian Technologies AB,LU,LU53480504,2024-08-07,import_fournisseur
3130,Metallo Transports Sp. z o.o.,IT,IT64984924742,2025-06-15,reprise_erp
3131,Corvus Consulting GmbH,BE,BE0187851089,2024-03-20,reprise_erp
3132,Kappa Consulting Lda,IT,IT.12927055728,2024-06-16,saisie_manuelle
3133,Meridian Trading BV,FI,FI0784814,2025-06-25,portail_client
3134,Meridian Foods SpA,NL,NL3775432M4B43,2024-09-12,import_fournisseur
3135,Meridian Services Sp. z o.o.,XX,XX6176985068,2024-06-21,portail_client
3136,Lusitania Logistics SpA,FI,FI30525676,2024-03-18,saisie_manuelle
3137,Prima Distribution SAS,IT,IT33283M87775,2025-08-08,portail_client
3138,Papyrus Logistics SAS,FI,FI94630870,2024-12-14,saisie_manuelle
3139,Solaris Consulting AB,FI,FI53071363,2025-08-02,import_fournisseur
3140,Verso Materials SA,BE,BE1734280717,2024-05-29,import_fournisseur
3141,Textil Consulting NV,FI,FI97554551,2025-08-12,portail_client
3142,Granit Industries BV,NL,NL.686426174B14,2025-08-21,crm
3143,Meridian Technologies Sp. z o.o.,SE,se575654135401,2025-04-09,import_fournisseur
3144,Verso Trading GmbH,FR,fr86720112149,2025-07-16,reprise_erp
3145,Hanse Transports Lda,LU,LU 2177 6872,2024-03-07,portail_client
3146,Lumen Logistics SARL,FI,FI26386976,2025-04-09,reprise_erp
3147,Baltic Technologies Lda,XX,XX24636500618,2025-08-16,reprise_erp
3148,Delta Technologies NV,BE,BE1548005974,2024-03-23,import_fournisseur
3149,Vertex Consulting Oy,DK,96688725,2025-07-03,import_fournisseur
3150,Vela Trading AB,BE,BE 0559 903992,2024-08-14,portail_client
3151,Vela Industries Sp. z o.o.,FR,75680871830,2025-07-19,crm
3152,Fabrica Foods Lda,FR,FR45988247883,2024-12-29,import_fournisseur
3153,Kappa Distribution SpA,PT,PT158999983,2024-08-22,import_fournisseur
3154,Global Distribution BV,PT,PT-689929922,2025-03-19,reprise_erp
3155,Global Distribution A/S,SE,SE573396913201,2024-03-24,reprise_erp
3156,Lusitania Consulting SAS,DK,DK79657735,2024-08-14,portail_client
3157,Atlantic Foods SARL,PT,PT764269623,2025-07-30,saisie_manuelle
3158,Lumen Services GmbH,DK,DK42609021,2025-05-03,portail_client
3159,Cobalt Materials Sp. z o.o.,PT,PT582386594,2024-12-23,crm
3160,Vela Trading SpA,FI,FI54170857,2025-04-18,import_fournisseur
3161,Metallo Transports Lda,NL,N/A,2025-02-26,reprise_erp
3162,Solaris Technologies SA,BE,BE 1648 113934,2025-07-27,import_fournisseur
3163,Cobalt Industries Sp. z o.o.,GB,GB94213015487,2025-08-14,portail_client
3164,Ardent Distribution SAS,BE,BE 0648 617818,2024-08-06,portail_client
3165,Lusitania Services SA,FR,FR32755784754,2024-03-28,saisie_manuelle
3166,Batavia Logistics SARL,LU,  LU75603872 ,2025-08-10,reprise_erp
3167,Textil Services NV,IT,IT0269453H885,2025-08-08,reprise_erp
3168,Azur Logistics Oy,NL,NL893797339B99,2024-05-12,portail_client
3169,Metallo Transports Lda,FI,FI81229795,2025-07-31,import_fournisseur
3170,Lusitania Distribution Sp. z o.o.,LU,LU88855568,2025-02-02,crm
3171,Cobalt Transports Oy,PL,pl9483901581,2025-06-16,import_fournisseur
3172,Hanse Services BV,NL,NL416009499B60,2024-11-28,saisie_manuelle
3173,Atlantic Trading Lda,LU,LU47083052,2025-01-18,crm
3174,Delta Consulting SpA,LU,-,2025-01-06,crm
3175,Papyrus Materials SpA,PL,PL1153436409,2024-10-20,import_fournisseur
3176,Batavia Trading Oy,IT,IT23204908646,2024-05-23,crm
3177,Lumen Transports NV,LU,LU11206817,2024-09-27,saisie_manuelle
3178,Kappa Logistics NV,LU,LU14363881,2025-06-15,reprise_erp
3179,Batavia Transports BV,PT,PT151076915,2025-08-25,import_fournisseur
3180,Cobalt Distribution A/S,BE,BE1551G38952,2025-09-16,reprise_erp
3181,Metallo Transports SA,NL,NL823308632B17,2024-08-24,crm
3182,Prima Transports NV,LU,LU55142974,2025-08-20,crm
3183,Ardent Technologies SAS,GB,GB6744503353,2024-01-09,portail_client
3184,Hanse Technologies Sp. z o.o.,FI,FI61218484,2024-09-14,saisie_manuelle
3185,Kappa Logistics SARL,LU,LU87666515,2024-01-22,reprise_erp
3186,Granit Transports SAS,LU,LU78376228,2024-01-31,reprise_erp
3187,Solaris Services NV,IT, ,2024-11-11,saisie_manuelle
3188,Verso Industries NV,DK,DK87808351,2024-09-07,portail_client
3189,Fabrica Trading SAS,LU,LU32371017,2024-08-04,import_fournisseur
3190,Vela Logistics SAS,PL,PL8018579436,2025-03-21,saisie_manuelle
3191,Lusitania Services SARL,BE,BE1239143524,2025-08-05,import_fournisseur
3192,Meridian Technologies BV,FI,FI.40068050,2024-06-30,portail_client
3193,Global Distribution Oy,IT,IT97257802138,2025-04-23,crm
3194,Corvus Materials BV,SE,SE.160656569301,2024-05-14,portail_client
3195,Lumen Consulting GmbH,BE,  BE1450773174 ,2024-09-15,reprise_erp
3196,Ardent Transports SARL,NL,NL 6265 24568B32,2024-12-12,saisie_manuelle
3197,Ardent Technologies NV,PL,3679756105,2024-10-19,import_fournisseur
3198,Corvus Foods AB,IT,IT08934247910,2024-09-27,crm
3199,Orion Distribution SpA,FI,fi23192420,2024-04-07,crm
3200,Baltic Industries SAS,PL,PL13415831732,2025-04-22,reprise_erp
3201,Alpine Trading SARL,SE,SE163999540301,2024-02-13,portail_client
3202,Verso Consulting SA,FI,FI25452732,2024-12-11,saisie_manuelle
3203,Prima Distribution Sp. z o.o.,SE,SE139518077901,2024-10-27,saisie_manuelle
3204,Vertex Distribution NV,PL,PL6609256310,2025-01-18,import_fournisseur
3205,Orion Distribution Oy,BE,,2024-10-22,crm
3206,Lusitania Technologies GmbH,PL,PL 6568 468250,2025-07-13,import_fournisseur
3207,Batavia Distribution SA,PL,PL7075503766,2024-11-05,reprise_erp
3208,Vertex Logistics A/S,PL,PL4772608896,2024-10-31,saisie_manuelle
3209,Baltic Transports SA,IT,N/A,2025-09-18,import_fournisseur
3210,Kappa Foods SAS,DK,DK52084695,2025-07-16,import_fournisseur
3211,Fabrica Trading SpA,DK,DK98532951,2025-02-24,reprise_erp
3212,Fabrica Technologies A/S,SE,SE153230165001,2025-03-20,crm
3213,Solaris Foods A/S,FR,FR247193201887,2024-06-13,reprise_erp
3214,Meridian Technologies NV,FR,FR67902267786,2024-10-10,saisie_manuelle
3215,Vertex Technologies SpA,BE,BE0565871967,2024-11-29,saisie_manuelle
3216,Batavia Consulting Sp. z o.o.,DK,DK71554O01,2024-02-16,portail_client
3217,Granit Distribution Oy,FI,FI-55653615,2025-03-06,import_fournisseur
3218,Lusitania Technologies SA,PL,PL5577881434,2024-07-02,crm
3219,Vertex Distribution BV,DK,DK 7164 1309,2024-02-16,crm
3220,Alpine Logistics SAS,DK,DK6040877,2024-03-06,crm
3221,Prima Materials SAS,PL,PL2235835671,2025-04-26,crm
3222,Orion Trading SA,FR,fr00887057333,2024-08-30,portail_client
3223,Prima Logistics AB,SE,  SE068045079801 ,2024-08-06,reprise_erp
3224,Atlantic Foods Sp. z o.o.,BE,BEM190573149,2024-03-26,portail_client
3225,Cobalt Technologies SAS,NL,NL740909265B99,2024-10-27,import_fournisseur
3226,Lumen Services SAS,FI,FI30588853,2025-01-15,import_fournisseur
3227,Baltic Consulting Lda,FI,FI02147650,2024-09-30,import_fournisseur
3228,Solaris Services SAS,PT,PT412676915,2025-02-10,import_fournisseur
3229,Prima Technologies Sp. z o.o.,DK,DK73152526,2025-02-20,crm
3230,Fabrica Technologies NV,FR,FR07470435901,2024-11-02,crm
3231,Global Industries SA,PT,PT111121834,2025-02-15,saisie_manuelle
3232,Atlantic Consulting Lda,IT,IT.09495669062,2025-02-28,portail_client
3233,Corvus Services NV,FR,FR19395773647,2024-07-02,reprise_erp
3234,Global Industries Oy,IT,IT855040237566,2024-10-26,portail_client
3235,Textil Trading Lda,NL,NL422642526B24,2024-09-21,reprise_erp
3236,Kappa Foods GmbH,BE,BE1469691441,2025-02-24,crm
3237,Nord Materials BV,QQ,QQ378627660,2025-07-16,portail_client
3238,Batavia Logistics GmbH,FI,FI46991866,2024-07-03,portail_client
3239,Delta Foods AB,LU,  LU10124653 ,2024-02-10,import_fournisseur
3240,Nord Services AB,LU,lu69237746,2024-02-11,crm
3241,Verso Materials Sp. z o.o.,SE,SE584065288601,2024-03-13,reprise_erp
3242,Solaris Materials SpA,LU,LU43592002,2024-02-23,crm
3243,Solaris Industries NV,PT,PT918643155,2025-03-23,crm
3244,Meridian Industries SpA,SE,SE952225052201,2024-07-09,import_fournisseur
3245,Global Transports SAS,PL,PL5829044650,2024-05-06,saisie_manuelle
3246,Prima Foods Sp. z o.o.,FR,FR0653150558,2024-06-13,saisie_manuelle
3247,Global Industries GmbH,NL,NL189463538B23,2024-06-12,reprise_erp
3248,Lusitania Trading NV,FI,FI69545076,2024-05-29,import_fournisseur
3249,Lusitania Industries Oy,DK,DK58934984,2024-03-18,saisie_manuelle
3250,Atlantic Services SARL,FI,FI17768905,2024-02-14,reprise_erp
3251,Azur Consulting SpA,SE,SE427784946401,2024-11-13,saisie_manuelle
3252,Nord Technologies GmbH,IT,IT97837457700,2024-06-02,portail_client
3253,Granit Consulting Sp. z o.o.,LU,LU-82942231,2024-12-08,reprise_erp
3254,Papyrus Transports SA,GB,GB31550304,2024-05-04,crm
3255,Vela Foods Sp. z o.o.,NL,NL334575072B78,2024-09-20,portail_client
3256,Meridian Services Oy,DK,DK31159555,2025-09-06,import_fournisseur
3257,Atlantic Transports GmbH,BE,BE1665213549,2024-03-15,portail_client
3258,Kappa Trading GmbH,FR,FR84788209317,2024-06-20,reprise_erp
3259,Metallo Consulting NV,DK,DK2412140,2024-04-17,import_fournisseur
3260,Global Trading AB,BE,BE1108256375,2024-06-16,portail_client
3261,Azur Technologies SA,UK,uk227979060,2025-02-21,portail_client
3262,Atlantic Industries SARL,NL,NL676617384B03,2024-08-21,crm
3263,Delta Trading GmbH,NL,NL732535797B02,2024-12-08,saisie_manuelle
3264,Metallo Materials AB,PT,PT545417414,2024-12-22,portail_client
3265,Textil Transports A/S,FR,FR18312775251,2024-12-19,import_fournisseur
3266,Atlantic Materials SA,DK,DK41428627,2025-08-04,import_fournisseur
3267,Metallo Trading Oy,PL,PL8873554218,2024-08-11,crm
3268,Lusitania Industries Lda,IT,IT 0930 8212639,2025-09-07,reprise_erp
3269,Prima Technologies A/S,FI,FI66M95437,2024-02-11,saisie_manuelle
3270,Alpine Industries SA,PL,PL7028265911,2025-05-02,portail_client
3271,Global Trading SARL,PL,PL4930517811,2025-01-17,portail_client
3272,Verso Industries Sp. z o.o.,FI,FI67480276,2024-10-21,import_fournisseur
3273,Global Foods A/S,IT,IT85656431476,2024-06-24,saisie_manuelle
3274,Solaris Materials Lda,BE,BE0751470183,2025-01-30,saisie_manuelle
3275,Corvus Distribution AB,FR,FR65943436233,2024-08-26,crm
3276,Prima Consulting SAS,PT,PT86058H880,2024-01-25,reprise_erp
3277,Global Transports GmbH,BE,be0919451914,2025-08-31,portail_client
3278,Verso Services NV,PL,PL5924845557,2024-05-27,portail_client
3279,Meridian Materials Lda,FI,FI3285314J,2025-05-26,import_fournisseur
3280,Solaris Industries NV,IT,IT03953515669,2024-10-07,import_fournisseur
3281,Azur Distribution Oy,BE,,2025-03-17,reprise_erp
3282,Vertex Trading AB,PL,PL2455306331,2024-04-24,crm
3283,Orion Services Oy,SE,SE469190688905,2024-02-05,crm
3284,Textil Technologies SARL,FI,FI64810708,2025-06-21,portail_client
3285,Azur Consulting GmbH,XX,XX0112941949,2025-03-18,saisie_manuelle
3286,Orion Foods SAS,FI,FI11595230,2024-12-04,saisie_manuelle
3287,Azur Consulting Sp. z o.o.,PT,PT-375989129,2025-04-09,import_fournisseur
3288,Vertex Industries A/S,BE,BE14995971358,2025-05-31,import_fournisseur
3289,Kappa Services NV,LU,LUO7947768,2024-05-21,saisie_manuelle
3290,Granit Materials AB,NL,NL.562980179B17,2025-01-23,crm
3291,Orion Technologies BV,DK,98671021,2024-01-05,portail_client
3292,Kappa Technologies AB,PT,PT348516134,2025-09-19,crm
3293,Batavia Industries Oy,BE,BE0613923469,2025-05-11,reprise_erp
3294,Nord Logistics BV,PT,PT283338547,2024-11-05,import_fournisseur
3295,Kappa Consulting SARL,SE,SE 8731 00280701,2025-03-06,crm
3296,Cobalt Consulting GmbH,LU,  LU50328276 ,2025-03-14,reprise_erp
3297,Meridian Industries Sp. z o.o.,PT,PT 1751 39571,2024-04-21,portail_client
3298,Kappa Consulting SARL,PL,  PL4761672548 ,2025-04-21,crm
3299,Fabrica Distribution GmbH,PT,PT124268730,2024-04-12,reprise_erp
3300,Baltic Services GmbH,LU,LU80713886,2024-10-16,import_fournisseur
3301,Atlantic Materials GmbH,DK,  DK34079048 ,2024-11-07,reprise_erp
3302,Batavia Distribution SA,DK,DK74757681,2025-09-21,crm
3303,Solaris Distribution SA,SE,SE750853068801,2025-03-18,portail_client
3304,Batavia Industries SARL,LU,LU692939741,2025-09-17,import_fournisseur
3305,Kappa Distribution A/S,SE,SE268302268401,2024-02-22,portail_client
3306,Granit Services NV,BE,BE-0920809023,2024-05-16,portail_client
3307,Azur Materials BV,DK,DK.75179928,2024-04-28,portail_client
3308,Textil Technologies SAS,SE,SE250362672501,2024-10-11,crm
3309,Granit Materials Sp. z o.o.,FI,FI63132852,2024-08-29,portail_client
3310,Alpine Logistics SA,FI,FI.83711149,2025-05-14,reprise_erp
3311,Meridian Transports Sp. z o.o.,IT,IT08746617078,2024-11-27,portail_client
3312,Corvus Technologies GmbH,PL,PL7226052098,2025-07-08,portail_client
3313,Global Services GmbH,DK,DK26276497,2024-03-03,portail_client
3314,Prima Consulting GmbH,PT,PT292944330,2024-02-24,crm
3315,Granit Distribution SARL,FR,FR44420563719,2024-11-15,saisie_manuelle
3316,Vertex Foods Oy,IT,IT62467285076,2024-11-04,saisie_manuelle
3317,Baltic Foods NV,SE,SE38671143690,2024-05-23,import_fournisseur
3318,Fabrica Transports SARL,PL,N/A,2024-04-30,saisie_manuelle
3319,Granit Transports SARL,XX,XX6652806040,2024-04-29,crm
3320,Ardent Services SA,IT,IT37428064345,2024-09-24,import_fournisseur
3321,Hanse Materials A/S,IT,IT77041961127,2025-04-08,saisie_manuelle
3322,Meridian Industries NV,FI,FI57759528,2024-11-28,crm
3323,Verso Logistics Sp. z o.o.,NL,  NL263269073B30 ,2025-09-01,reprise_erp
3324,Verso Trading GmbH,NL,NL 9592 22972B32,2024-09-05,crm
3325,Delta Consulting SARL,FI,FI552J4936,2025-07-01,import_fournisseur
3326,Textil Logistics SpA,DK,DK41154586,2025-05-23,saisie_manuelle
3327,Delta Transports SARL,LU,LU44105257,2024-05-15,import_fournisseur
3328,Metallo Technologies SARL,QQ,QQ0410931491,2025-03-08,portail_client
3329,Textil Distribution Sp. z o.o.,PL,PL3O66527278,2024-10-04,saisie_manuelle
3330,Solaris Industries SAS,PL,PLJ871014168,2024-09-17,crm
3331,Batavia Distribution SpA,DK,DK04267567,2024-01-08,reprise_erp
3332,Fabrica Foods BV,IT,IT83849177999,2024-10-10,import_fournisseur
3333,Lusitania Technologies AB,FR,FR21429435008,2024-05-21,portail_client
3334,Fabrica Distribution Lda,QQ,QQ571076609B42,2024-04-17,portail_client
3335,Batavia Materials SAS,ZZ,ZZ77190033,2024-03-07,crm
3336,Lumen Consulting GmbH,PL,PL7355091833,2024-01-23,portail_client
3337,Delta Transports NV,FI,FI127332H4,2024-04-28,reprise_erp
3338,Granit Technologies GmbH,GB,GB893247154,2024-02-05,import_fournisseur
3339,Atlantic Foods GmbH,SE,SE594778731201,2024-11-14,import_fournisseur
3340,Vela Industries Oy,PT,PT2006508J0,2025-03-29,import_fournisseur
3341,Corvus Materials A/S,NL,NL286787805B62,2024-06-16,crm
3342,Cobalt Technologies Oy,FI,FI-66104021,2025-06-24,reprise_erp
3343,Delta Services Sp. z o.o.,GB,GB318432833B86,2024-09-25,import_fournisseur
3344,Meridian Trading SARL,LU,LU-19983833,2025-07-06,reprise_erp
3345,Kappa Transports Sp. z o.o.,FI,FI20803628,2024-08-09,import_fournisseur
3346,Corvus Trading A/S,LU,LU45752666,2025-06-21,reprise_erp
3347,Papyrus Materials SARL,FR,,2025-01-14,crm
3348,Textil Distribution SARL,FI,FI77100325,2024-12-04,crm
3349,Solaris Logistics SpA,DK,37476250,2024-01-01,saisie_manuelle
3350,Ardent Materials A/S,ZZ,ZZ491940580B81,2024-11-21,import_fournisseur
3351,Verso Materials Sp. z o.o.,IT,IT-28460458236,2024-11-03,import_fournisseur
3352,Lumen Foods AB,DK,DK.47639123,2025-03-27,reprise_erp
3353,Orion Distribution Lda,BE,BE.0716419234,2024-06-29,reprise_erp
3354,Kappa Logistics AB,PL,pl9272176404,2024-10-18,saisie_manuelle
3355,Metallo Distribution Lda,LU,LU24649049,2024-11-29,reprise_erp
3356,Papyrus Services SAS,PT,PT369145062,2024-09-01,saisie_manuelle
3357,Metallo Technologies SAS,FR,FR63216414001,2024-09-29,import_fournisseur
3358,Batavia Logistics SA,LU,LU38268773,2024-02-01,import_fournisseur
3359,Atlantic Consulting Oy,FI,FI2771727,2025-03-19,saisie_manuelle
3360,Batavia Logistics SpA,DK,DK74457029,2025-09-24,portail_client
3361,Cobalt Services Sp. z o.o.,BE,BE018591712,2024-10-05,import_fournisseur
3362,Baltic Logistics Oy,FR, ,2025-05-08,portail_client
3363,Ardent Consulting Oy,DK,,2025-09-23,saisie_manuelle
3364,Metallo Materials Oy,IT,IT58476851777,2024-01-02,portail_client
3365,Papyrus Consulting SAS,IT,IT80253193660,2025-07-30,crm
3366,Batavia Consulting AB,PT,PT683841506,2024-12-31,crm
3367,Cobalt Trading Lda,DK,DK220419832,2025-06-16,crm
3368,Textil Transports SA,LU,LU 6830 0418,2025-01-08,saisie_manuelle
3369,Fabrica Transports BV,IT,IT2569711081,2024-01-29,reprise_erp
3370,Hanse Transports SAS,NL,NL239665736B98,2024-04-06,saisie_manuelle
3371,Verso Services NV,IT,IT71337261603,2025-02-20,reprise_erp
3372,Azur Distribution Lda,BE,BE0835956688,2025-03-21,portail_client
3373,Metallo Trading Oy,FR,FR75299669396,2025-04-13,import_fournisseur
3374,Vertex Materials SpA,BE,BE1121010740,2025-05-22,reprise_erp
3375,Fabrica Trading GmbH,DK,DK54556322,2024-11-27,reprise_erp
3376,Prima Technologies BV,LU,LU56366831,2025-06-26,reprise_erp
3377,Meridian Materials Lda,FI,FI73827682,2025-06-14,reprise_erp
3378,Textil Consulting SARL,PT,282326243,2024-06-14,saisie_manuelle
3379,Batavia Services SA,PT,PT-100405711,2025-09-02,saisie_manuelle
3380,Azur Services Sp. z o.o.,SE,SE383660020601,2025-01-30,import_fournisseur
3381,Alpine Trading SA,IT,IT290586195698,2025-01-07,import_fournisseur
3382,Cobalt Consulting Oy,DK,DK065622727,2025-02-19,reprise_erp
3383,Nord Materials SA,PT,PT 9385 85495,2024-07-29,portail_client
3384,Solaris Trading Sp. z o.o.,FR,FR84699596519,2024-03-16,portail_client
3385,Alpine Transports A/S,LU,LU25227246,2024-02-04,saisie_manuelle
3386,Corvus Industries BV,PL,PL1889984159,2025-06-24,import_fournisseur
3387,Metallo Logistics SAS,SE,SE205614019301,2025-09-12,crm
